------------------------------------------------------------------------------------
log file for recomend system \\ script made by Dmitry Chapliuk 
[2014-03-14 09:11:38] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-2 Client_ID: null
[2014-03-14 09:11:38] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragired Client_ID: null
[2014-03-14 09:18:29] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 6034000 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:30] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 6063300 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6260415 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6254214MMT Client_ID: 2144659201.1380497706
[2014-03-14 09:18:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6184711 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6185291 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:30] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 4307070 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:31] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 4304600 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:31] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 9580123 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:31] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 4188582 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:31] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 4307030 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:32] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): W004505 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:32] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 3133210 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:33] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 4287860 Client_ID: 2144659201.1380497706
[2014-03-14 09:18:33] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): br70s-10-15 Client_ID: 2144659201.1380497706
[2014-03-14 10:53:00] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): stig200pacdc Client_ID: 658898356.1393855956
[2014-03-14 10:53:01] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): regu40mg Client_ID: 658898356.1393855956
[2014-03-14 11:23:40] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-20 Client_ID: null
[2014-03-14 11:24:49] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): redboblack164 Client_ID: null
[2014-03-14 11:28:05] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bed500 Client_ID: null
